Code,Parent,Name_de
"25702024","72310","Automonteur, leichte Motorwagen | Automonteurin, leichte Motorwagen"
"25702025","72310","Automonteur, schwere Motorwagen | Automonteurin, schwere Motorwagen"
"25702028","72310","Oldtimerrestaurator | Oldtimerrestauratorin"
"25702029","72310","Automobildiagnostiker, eidg. FA, leichte Motorfahrzeuge | Automobildiagnostikerin, eidg. FA, leichte Motorfahrzeuge"
"25702030","72310","Automobildiagnostiker, eidg. FA, Nutzfahrzeuge | Automobildiagnostikerin, eidg. FA, Nutzfahrzeuge"
"25702031","13210","Automechanikermeister | Automechanikermeisterin"
"25702032","72310","Autoservicemechaniker | Autoservicemechanikerin"
"25702033","72310","Automobil-Assistent EBA | Automobil-Assistentin EBA"
"25702034","72310","Automobil-Fachmann EFZ | Automobil-Fachfrau EFZ"
"25702035","72310","Automobil-Fachmann EFZ, Nutzfahrzeuge | Automobil-Fachfrau EFZ, Nutzfahrzeuge"
"25702036","72310","Automobil-Fachmann EFZ, Personenwagen | Automobil-Fachfrau EFZ, Personenwagen"
"25702037","72310","Automobil-Mechatroniker EFZ | Automobil-Mechatronikerin EFZ"
"25702038","72310","Automobil-Mechatroniker EFZ, Nutzfahrzeuge | Automobil-Mechatronikerin EFZ, Nutzfahrzeuge"
"25702039","72310","Automobil-Mechatroniker EFZ, Personenwagen | Automobil-Mechatronikerin EFZ, Personenwagen"
"25702040","72310","Automechatroniker | Automechatronikerin"
"25702041","13210","Kraftfahrzeugmeister | Kraftfahrzeugmeisterin"
"25702042","72310","Rennwagenmechaniker | Rennwagenmechanikerin"
"25702043","72310","LKW-Mechaniker | LKW-Mechanikerin"
"25702045","72310","Automobildiagnostiker, eidg. FA, Personenwagen | Automobildiagnostikerin, eidg. FA, Personenwagen"
"25703001","31151","Fahrradkonstrukteur | Fahrradkonstrukteurin"
"25703002","72310","Fahrrad- und Motorradmechaniker | Fahrrad- und Motorradmechanikerin"
"25703003","72310","Fahrrad- und Motorfahrradmechaniker | Fahrrad- und Motorfahrradmechanikerin"
"25703004","72340","Velomechaniker | Velomechanikerin"
"25703005","14200","Fahrrad- und Motorradmechanikermeister HFP | Fahrrad- und Motorradmechanikermeisterin HFP"
"25703007","72310","Motorradmechaniker | Motorradmechanikerin"
"25703008","13210","Fahrradmechanikermeister HFP | Fahrradmechanikermeisterin HFP"
"25703009","72340","Veloreparateur | Veloreparateurin"
"25703010","72310","Fahrzeugwart, Zweiräder | Fahrzeugwartin, Zweiräder"
"25703011","72340","Velomonteur | Velomonteurin"
"25703012","72310","Motorradmonteur | Motorradmonteurin"
"25703013","72310","Motorradreparateur | Motorradreparateurin"
